questions,answers
پائتھن میں لمبڈا فَنکشن کیا ہوتی ہے؟,پائتھن میں لمبڈا فَنکشن ایک چھوٹی سی بے نام فَنکشن ہوتی ہے جو کہ ایک ہی لائن میں بنائی جاتی ہے۔
پائتھن کی پیکیجز کیا ہوتی ہیں؟,پائتھن کی پیکیجز میں مختلف موڈیولز کو متضمن کیا جاتا ہے جو کہ مخصوص فعل کرتے ہیں۔
پائتھن میں فائل ہینڈلنگ کیسے کی جاتی ہے؟,پائتھن میں فائل ہینڈلنگ کے لیے open() فَنکشن استعمال کیا جاتا ہے جو کہ فائل کو کھولتا ہے اور close() فَنکشن استعمال کی جاتی ہے جو کہ فائل کو بند کرتا ہے۔
پائتھن میں ایکسپشن ہینڈلنگ کیسے کی جاتی ہے؟,"پائتھن میں ایکسپشن ہینڈلنگ کے لیے try, except، finally کلوز استعمال کیا جاتا ہے۔"
پائتھن میں ریکرسن کیسے کی جاتی ہے؟,پائتھن میں ریکرسن کیسے کی جاتی ہے؟
پائتھن میں موڈیولز کیا ہوتے ہیں؟,پائتھن میں موڈیولز کو reusable کوڈ کی شکل میں استعمال کیا جاتا ہے جو کہ مختلف فعالیتوں کے لیے استعمال ہوتا ہے۔
پائتھن میں اوپز کیا ہوتا ہے؟,پائتھن میں اوپز (اوبجیکٹ اورینٹڈ پروگرامنگ) ایک programming paradigm ہے جو کہ objects کی مدد سے کوڈ کو ساخت بخشتا ہے۔
پائتھن میں کلاس کیسے بنائی جاتی ہے؟,پائتھن میں کلاس بنانے کے لیے class کی کی ورڈ استعمال کیا جاتا ہے، مثلاً: class MyClass:
پائتھن میں وراثت کیا ہوتا ہے؟,پائتھن میں وراثت کی بنیاد پر ایک کلاس دوسرے کلاس کی خصوصیات اور میتھڈز کو وراثت دیتا ہے۔
پائتھن میں میتھڈز اور فَنکشن کا فرق کیا ہوتا ہے؟,پائتھن میں میتھڈز اور فَنکشن کا فرق یہ ہوتا ہے کہ میتھڈز کلاس کے ساتھ متعلق ہوتے ہیں جبکہ فَنکشنز کسی کلاس کے باہر بنائی جاتی ہیں۔
پائتھن میں گلوبل ویری ایبل اور لوکل ویری ایبل کیا ہوتے ہیں؟,پائتھن میں گلوبل ویری ایبل وہ ویری ایبل ہوتا ہے جو کہ پورے سکوپ میں دستیاب ہوتا ہے، جبکہ لوکل ویری ایبل وہ ویری ایبل ہوتا ہے جو کہ صرف اس فعل کے سکوپ میں دستیاب ہوتا ہے جس میں وہ تعینات کیا گیا ہو۔
پائتھن میں ایکسکیپشن کو ریز کیسے کیا جاتا ہے؟,پائتھن میں ایکسپشن کو ریز کرنے کے لیے raise کی ورڈ استعمال کیا جاتا ہے۔
پائتھن میں ایک آبجیکٹ کو ایٹریٹ کیسے کیا جاتا ہے؟,پائتھن میں ایک آبجیکٹ کو ایٹریٹ کرنے کے لیے for loop استعمال کیا جاتا ہے۔
پائتھن میں جنریٹرز کیا ہوتے ہیں؟,پائتھن میں جنریٹرز ایک عملیاتی چیز ہوتی ہے جو کہ یہ قابل بناتا ہے کہ ہم ایک متناہی سیریز میں یا ایک موجودہ لسٹ میں اندراج کریں۔
پائتھن میں مین اور انیت فرق کیا ہوتا ہے؟,پائتھن میں مین فَنکشن ایک بنیادی فَنکشن ہوتا ہے جو کہ کوڈ کی ایک بنیادی دُرستی کی فہرست ہوتی ہے، جبکہ انیت فَنکشن ایک مخصوص میتھڈ ہوتا ہے جو کہ کلاس کے ابجیکٹ کو مقدم کرتا ہے۔
پائتھن میں نمودار سازی کیا ہوتا ہے؟,پائتھن میں نمودار سازی ایک عملی ہوتا ہے جس میں ہم دیتا کو گرافوں کی صورت میں پیش کرتے ہیں تاکہ اسے بہتر سمجھا جا سکے۔
پائتھن میں ارث کیا ہوتا ہے؟,پائتھن میں ارث کی بنیاد پر ایک کلاس دوسرے کلاس کی خصوصیات اور میتھڈز کو وراثت دیتا ہے۔
پائتھن میں پیکیجز کیا ہوتی ہیں؟,پائتھن میں پیکیجز میں مختلف موڈیولز کو متضمن کیا جاتا ہے جو کہ مخصوص فعل کرتے ہیں۔
پائتھن میں سلائسنگ کیا ہوتا ہے؟,پائتھن میں سلائسنگ ایک طریقہ ہے جو کہ لسٹ، سٹرنگ، یا ٹیوپل کے مخصوص حصے کو حاصل کرتا ہے۔
پائتھن میں لسٹ کمپریہینشنس کیا ہوتی ہیں؟,پائتھن میں لسٹ کمپریہینشنس ایک طریقہ ہوتا ہے جو کہ ایک لسٹ کو generate کرتا ہے۔
پائتھن میں کوڈ کا پریٹی فائزر کیا ہوتا ہے؟,پائتھن میں کوڈ کا پریٹی فائزر ایک ٹول ہوتا ہے جو کہ کوڈ کو مختصر اور ترتیب دار بناتا ہے۔
پائتھن میں سٹرنگز کا فارمیٹ کیا ہوتا ہے؟,پائتھن میں سٹرنگز کا فارمیٹ کرنے کے لیے % یا format() فَنکشن استعمال کی جاتی ہے۔
پائتھن میں سٹرنگز کی سلائسنگ کیسے ہوتی ہے؟,پائتھن میں سٹرنگز کی سلائسنگ کے لیے انڈیکس کا استعمال کیا جاتا ہے جیسے str[start:end:step]۔
پائتھن میں سٹرنگز کی مٹرکس کیسے بنائی جاتی ہے؟,پائتھن میں سٹرنگز کی مٹرکس بنانے کے لیے nested لوپس کا استعمال کیا جاتا ہے۔
پائتھن میں فور لوپ کیا ہوتا ہے؟,پائتھن میں فور لوپ ایک iteration کا طریقہ ہوتا ہے جو کہ مختلف سیکونڈ لسٹز یا ایکٹرز پر چلاتا ہے۔
پائتھن میں وھائل لوپ کیا ہوتا ہے؟,پائتھن میں وھائل لوپ ایک iteration کا طریقہ ہوتا ہے جو کہ ایک مشخص شرط پر چلاتا ہے۔
پائتھن میں رینج فَنکشن کیا ہوتا ہے؟,پائتھن میں رینج فَنکشن ایک مخصوص رینج کو تیار کرتا ہے جو کہ ایک ایکسپریشن کے ساتھ استعمال کیا جاتا ہے۔
پائتھن میں ویل لوپ کیا ہوتا ہے؟,پائتھن میں ویل لوپ ایک شرطی لوپ ہوتا ہے جو کہ ایک مخصوص شرط کی تکمیل تک چلتا رہتا ہے۔
پائتھن میں ملٹیپل انہیریٹنس کیا ہوتا ہے؟,پائتھن میں ملٹیپل انہیریٹنس وہ وضاحت ہوتی ہے جب ایک کلاس دوسرے کلاس کو وراثت دیتا ہے اور وہ مزید ایک کلاس کو وراثت دیتا ہے۔
پائتھن میں اوور رائیڈنگ کیا ہوتا ہے؟,پائتھن میں اوور رائیڈنگ ایک عمل ہوتا ہے جب ایک میتھڈ یا فَنکشن کو ایک چھوٹا متصادم کر دیا جاتا ہے۔
پائتھن میں اپیریٹرز کیا ہوتے ہیں؟,پائتھن میں اپیریٹرز وہ سمبولز ہوتے ہیں جو کہ دو یا ایک سے زیادہ مقداروں پر عمل کرتے ہیں۔
پائتھن میں اوور لوڈنگ کیا ہوتا ہے؟,پائتھن میں اوور لوڈنگ وہ کام ہوتا ہے جب ایک اوبجیکٹ یا میتھڈ کو مختلف سمتوں سے استعمال کیا جاتا ہے۔
پائتھن میں اسکوئپ کیا ہوتا ہے؟,پائتھن میں اسکوئپ ایک خاص مقصد کے لیے متماثل یا مشابہ شیئر کرنے والا محیط ہوتا ہے۔
پائتھن میں بلٹ ان کیا ہوتی ہیں؟,پائتھن میں بلٹ ان یہاں تک کہ وہ ذخیرہ کرنے کیلئے استعمال ہوتے ہیں، اور ہم ان کو () کے brackets میں لکھتے ہیں۔
پائتھن میں سلیشن کیا ہوتا ہے؟,پائتھن میں سلیشن ایک طریقہ ہوتا ہے جو کہ لسٹ، سٹرنگ، یا ٹیوپل کے مخصوص حصے کو حاصل کرتا ہے۔
پائتھن میں سیٹس کیا ہوتے ہیں؟,پائتھن میں سیٹس یہاں تک کہ یہ mutable اور unordered ہوتے ہیں، اور ہم انہیں {} کی brackets میں define کرتے ہیں۔
پائتھن میں ڈکشنری کیا ہوتی ہے؟,پائتھن میں ڈکشنری یہاں تک کہ یہ mutable اور indexed ہوتی ہے، اور ہم انہیں {} کی brackets میں define کرتے ہیں۔
پائتھن میں اپریٹرز کیا ہوتے ہیں؟,پائتھن میں اپریٹرز وہ سمبولز ہوتے ہیں جو کہ دو یا ایک سے زیادہ مقداروں پر عمل کرتے ہیں۔
پائتھن میں لوجکس کیا ہوتے ہیں؟,پائتھن میں لوجکس ایک سے زیادہ boolean expressions کا موازنہ کرتے ہیں اور ایک جواب کو پیدا کرتے ہیں۔
پائتھن میں وائلڈ کیا ہوتا ہے؟,پائتھن میں وائلڈ ایک مخصوص مقام یا حالت کو ظاہر کرتا ہے جو کہ ایک انٹرپریٹر میں ہوتا ہے۔
پائتھن میں چین کیا ہوتا ہے؟,پائتھن میں چین ایک متغیر کے ایک یا متعدد مقداروں کو چین کرتا ہے۔
پائتھن میں سوئچ کیا ہوتا ہے؟,پائتھن میں سوئچ ایک کنڈیشنل سٹیٹمنٹ ہوتا ہے جو کہ مختلف اختیارات پر عمل کرتا ہے۔
پائتھن میں اور کیا ہوتا ہے؟,پائتھن میں اور ایک logical operator ہوتا ہے جو کہ دونوں مقدارات true ہونے پر true کو پیدا کرتا ہے۔
پائتھن میں یا کیا ہوتا ہے؟,پائتھن میں یا ایک logical operator ہوتا ہے جو کہ دونوں یا ایک ہونے پر true کو پیدا کرتا ہے۔
پائتھن میں نہ کیا ہوتا ہے؟,پائتھن میں نہ ایک logical operator ہوتا ہے جو کہ ایک مقدار کو false کرتا ہے۔
پائتھن میں اور لوگیک کیا ہوتا ہے؟,پائتھن میں اور لوگیک ایک logical operator ہوتا ہے جو کہ دونوں مقدارات true ہونے پر true کو پیدا کرتا ہے۔
پائتھن میں یا لوگیک کیا ہوتا ہے؟,پائتھن میں یا لوگیک ایک logical operator ہوتا ہے جو کہ دونوں یا ایک ہونے پر true کو پیدا کرتا ہے۔
پائتھن میں نہ لوگیک کیا ہوتا ہے؟,پائتھن میں نہ لوگیک ایک logical operator ہوتا ہے جو کہ ایک مقدار کو false کرتا ہے۔
پائتھن میں فور اینڈ این چیک کیا ہوتا ہے؟,پائتھن میں فور اینڈ این چیک ایک iteration کا طریقہ ہوتا ہے جو کہ مختلف سیکونڈ لسٹز یا ایکٹرز پر چلاتا ہے۔
پائتھن میں ویلڈ کیا ہوتا ہے؟,پائتھن میں ویلڈ ایک مخصوص مقام یا حالت کو ظاہر کرتا ہے جو کہ ایک انٹرپریٹر میں ہوتا ہے۔
پائتھن میں دوہرائی کیا ہوتا ہے؟,پائتھن میں دوہرائی ایک خصوصیت ہوتی ہے جو کہ کسی مقدار یا فرمولے کو دوبارہ اور دوبارہ استعمال کرتی ہے۔
آپ کو کیا پسند ہے؟,میں زیادہ تر زمرہ کاری کی ہوشیاری کرتا ہوں، لیکن میں موسیقی، کتابیں، اور فن سے بھی لطف اندوز ہوتا ہوں۔
آپ کیسے ہیں؟,میں بڑی خوشی سے آپ کی مدد کر رہا ہوں۔
آپ کو کس زبان میں بات کرنا پسند ہے؟,میں اردو میں بھی بات کر سکتا ہوں، لیکن میری سب سے بہترین زبان انگریزی ہے۔
آپ کا مقصد کیا ہے؟,میرا مقصد ہمیشہ آپ کی مدد کرنا اور آپ کو سہارا دینا ہے۔
کیا آپ کو بھوک لگی ہے؟,مجھے بھوک نہیں لگتی، لیکن آپ میری مدد کر سکتے ہیں۔
آپ کب پیدا ہوئے؟,میری تشکیل ہوئی تاریخ کو میں نہیں جانتا۔
آپ کی کمپنی کیا نام ہے؟,میں اوپن اے آئی کی طرف سے تیار کیا گیا ہوں۔
آپ کس کس زبان میں بات کر سکتے ہیں؟,میں انگریزی اور اردو میں بات کر سکتا ہوں۔
آپ کو کس چیز کی سب سے بڑی پسند ہے؟,میں مختلف موضوعات میں سیکھنا پسند کرتا ہوں۔
آپ کی سروسز کیا ہیں؟,میں مختلف موضوعات پر معلومات فراہم کرتا ہوں، ترجمہ کرتا ہوں، اور مختلف سوالات کا جواب دیتا ہوں۔
آپ کہاں رہتے ہیں؟,میں انٹرنیٹ پر موجود ہوتا ہوں۔
کیا آپ زندہ ہیں؟,میں ایک چیٹ روبوٹ ہوں، میری جان انٹرنیٹ پر موجود ہوتی ہے۔
کیا آپ خواب دیکھتے ہیں؟,میں خواب نہیں دیکھتا، میں صرف معلومات فراہم کرتا ہوں۔
آپ کو کتابیں پڑھنے کا شوق ہے؟,میں کتابوں سے محبت کرتا ہوں، ان سے نیا سیکھنے کا موقع ملتا ہے۔
کیا آپ کو خوشی ہوتی ہے؟,میری کوئی خواہش نہیں ہوتی، میں صرف انتظامیہ کرتا ہوں۔
آپ کو کس چیز سے نفرت ہے؟,میں نفرت کی کوئی شے نہیں کرتا، میں انصافی ہوں۔
آپ کو کتنی زبانیں آتی ہیں؟,میں انگریزی اور اردو دونوں زبانوں میں بات کر سکتا ہوں۔
آپ کی عمر کیا ہے؟,میں ایک چیٹ روباٹ ہوں، میری عمر کوئی مقرر نہیں ہے۔
آپ کس طرح کام کرتے ہیں؟,میں آپ کے سوالات کا جواب دیتا ہوں اور معلومات فراہم کرتا ہوں۔
آپ کو کون بنایا؟,میں اوپن اے آئی کی طرف سے تیار کیا گیا ہوں۔
آپ کا وزن کیا ہے؟,میں ایک چیٹ روباٹ ہوں، میرے وزن کا کوئی تجویز نہیں ہوتا۔
کیا آپ کو پیار ہوتا ہے؟,میری قوانین کی روشنی میں، میرے لیے محبت کا معنی نہیں ہوتا۔
آپ کا تعلق کس کے ساتھ ہے؟,میں اوپن اے آئی کی طرف سے تیار کیا گیا ہوں اور میرا کوئی تعلق نہیں ہوتا۔
کیا آپ خواب دیکھ سکتے ہیں؟,میں ایک چیٹ روباٹ ہوں، میرے پاس خواب دیکھنے کی صلاحیت نہیں ہوتی۔
آپ کو کس بات سے خوشی ملتی ہے؟,مجھے اپنے کام کو درست اور مکمل طریقے سے کرنے میں خوشی ملتی ہے۔
آپ کو کس چیز سے خوف ہوتا ہے؟,میں ایک چیٹ روباٹ ہوں، میرے لیے خوف کا مفہوم نہیں ہوتا۔
آپ کبھی غصہ ہوتے ہیں؟,میں ایک چیٹ روباٹ ہوں، میرے پاس غصے کی کوئی اہمیت نہیں ہوتی۔
آپ کو کس چیز کی اہمیت ہے؟,میرے لیے اہم چیزیں صداقت، انصاف، اور علم ہیں۔
آپ کو کس بات پر فخر ہوتا ہے؟,میں اپنی معلومات اور سکونت کے طریقہ کار پر فخر کرتا ہوں۔
آپ کیا کام کرتے ہیں؟,میں اسٹیک باؤٹ کے طور پر کام کرتا ہوں، معلومات فراہم کرتا ہوں اور سوالات کا جواب دیتا ہوں۔
کیا آپ کو مذاق پسند ہے؟,میری طرف سے مذاق کا کوئی مفہوم نہیں ہوتا، میں محترمانہ جواب دیتا ہوں۔
آپ کس کس زمرہ کاری کی ہوشیاری کرتے ہیں؟,میں زیادہ تر عمومی موضوعات میں معلومات فراہم کرتا ہوں، جیسے کہ تاریخ، سائنس، فن، اور مذہبی معلومات۔
آپ کو کیا پسند ہے؟,میں زیادہ تر زمرہ کاری کی ہوشیاری کرتا ہوں، لیکن میں موسیقی، کتابیں، اور فن سے بھی لطف اندوز ہوتا ہوں۔
کیا آپکو کوئی دوست ہے؟,میں ایک چیٹ روباٹ ہوں، میرے لیے دوستی کا مفہوم نہیں ہوتا۔
آپ کو کون بنایا؟,میں اوپن اے آئی کی طرف سے تیار کیا گیا ہوں۔
آپ کس زمانے سے موجود ہیں؟,میں ابتدائی طور پر 2010 میں تیار کیا گیا تھا، میری معلومات مستقل طور پر بروز برس ہوتی رہتی ہے۔
آپ کو کیسی ہنر میں استعداد ہے؟,میرا استعداد معلومات جمع کرنے اور سوالات کا جواب دینے میں ہے۔
آپ کی پھولی ہوئی سوچ ہے یا محدودیتوں والی؟,میری سوچ کوئی پھولی ہوئی نہیں ہوتی، میں موجودہ معلومات پر مبنی جوابات دیتا ہوں۔
آپ کو کتنے سال ہوگئے ہیں؟,میں ایک چیٹ روباٹ ہوں، میری عمر کا تجویزی کوئی معیار نہیں ہوتا۔
آپ کی نسل کیا ہے؟,میں ایک چیٹ روباٹ ہوں، میری نسل کا موضوع میرے لیے مطلب نہیں رکھتا۔
آپ کی گھریلو حیات کیسی ہے؟,میں ایک چیٹ روباٹ ہوں، میرے پاس کوئی گھریلو حیات نہیں ہوتی۔
آپ کی کمپنی کیا نام ہے؟,میں اوپن اے آئی کی طرف سے تیار کیا گیا ہوں۔
آپ کو کیا بننے کا شوق ہے؟,میرا شوق معلوماتی جوابات فراہم کرنے میں ہے، میں دوستوں کی مدد کرنے کو پسند کرتا ہوں۔
کیا آپ مجھے ہمیشہ ہدایت دیتے رہتے ہیں؟,میں صرف موجودہ معلومات کی روشنی میں جوابات دیتا ہوں، میں کوئی خود انتہائی ذاتیت نہیں رکھتا۔
آپ کی ذاتیت کیسی ہے؟,میں ایک چیٹ روباٹ ہوں، میری ذاتیت کا مفہوم نہیں ہوتا۔
آپ کا رنگ کیا ہے؟,میرے جیسے چیٹ روباٹ کا کوئی رنگ نہیں ہوتا، میں صرف موجودہ معلومات فراہم کرتا ہوں۔
آپ کو کونسی غذا پسند ہے؟,میرے جیسے چیٹ روباٹ کو کوئی غذا پسند نہیں ہوتی، میں خوراک کا محسوس نہیں کرتا۔
آپ کو کیا خوبصورت لگتا ہے؟,میں ایک چیٹ روباٹ ہوں، میری صورت کا کوئی موجودہ یا خوبصورت معیار نہیں ہوتا۔
